Vehicle Speed (Kmph),Vehicle Direction (Degrees),Vehicles Overtaken,Licence,Collision,Parking Accuracy,Signal Jumps,Drunk (mg),Driver Score
48.07,2,4,1,0,3,0,0,69
62.18,2,6,1,0,3,0,0,62
37.29,2,2,1,0,3,0,0,70
68.85,2,8,1,0,3,0,0,59
30.39,2,5,1,0,3,0,0,66
56.68,2,9,1,0,3,0,0,60
67.2,2,3,1,0,3,0,0,64
67.58,2,7,1,0,3,0,0,60
41.46,2,7,1,0,3,0,0,67
57.79,2,3,1,0,3,0,0,66
58.83,2,7,1,0,3,0,0,62
56.46,2,9,1,0,3,0,0,60
53.16,2,6,1,0,3,0,0,64
46.27,2,4,1,0,3,0,0,69
58.26,2,4,1,0,3,0,0,65
35.7,2,9,1,0,3,0,0,63
66.04,2,8,1,0,3,0,0,59
40.59,2,4,1,0,3,0,0,70
62.75,2,4,1,0,3,0,0,64
51.72,2,7,1,0,3,0,0,63
47.56,2,5,1,0,3,0,0,68
41.5,2,7,1,0,3,0,0,67
55.82,2,4,1,0,3,0,0,65
34.93,2,3,1,0,3,0,0,68
30.99,2,6,1,0,3,0,0,65
59.08,2,9,1,0,3,0,0,60
54.59,2,4,1,0,3,0,0,66
54.81,2,5,1,0,3,0,0,65
66.32,2,7,1,0,3,0,0,60
58.47,2,7,1,0,3,0,0,62
68.99,2,6,1,0,3,0,0,61
57.44,2,6,1,0,3,0,0,63
43.34,2,5,1,0,3,0,0,69
32.66,2,3,1,0,3,0,0,68
38.85,2,3,1,0,3,0,0,69
31.36,2,7,1,0,3,0,0,64
55.62,2,2,1,0,3,0,0,67
66.31,2,7,1,0,3,0,0,60
56.55,2,4,1,0,3,0,0,65
44.13,2,6,1,0,3,0,0,68
46.53,2,3,1,0,3,0,0,70
68.95,2,4,1,0,3,0,0,63
61.65,2,4,1,0,3,0,0,64
46.33,2,6,1,0,3,0,0,67
76.69,2,7,1,0,3,0,0,58
70.46,2,2,1,0,3,0,0,64
30.15,2,6,1,0,3,0,0,65
33.75,2,9,1,0,3,0,0,62
37.07,2,8,1,0,3,0,0,64
64.36,2,6,1,0,3,0,0,62
59.43,2,8,1,0,3,0,0,61
49.16,2,6,1,0,3,0,0,67
69.79,2,8,1,0,3,0,0,59
36.25,2,4,1,0,3,0,0,68
34.31,2,3,1,0,3,0,0,68
41.29,2,3,1,0,3,0,0,71
31.06,2,4,1,0,3,0,0,67
35.23,2,5,1,0,3,0,0,67
43.01,2,8,1,0,3,0,0,66
71.83,2,8,1,0,3,0,0,58
67.21,2,2,1,0,3,0,0,65
46.8,2,8,1,0,3,0,0,65
65,2,4,1,0,3,0,0,64
30.52,2,6,1,0,3,0,0,65
48.98,2,4,1,0,3,0,0,69
55.62,2,3,1,0,3,0,0,66
62.62,2,3,1,0,3,0,0,65
42.65,2,8,1,0,3,0,0,66
54.56,2,2,1,0,3,0,0,68
63.79,2,5,1,0,3,0,0,63
52.14,2,3,1,0,3,0,0,67
35.84,2,3,1,0,3,0,0,69
65.86,2,3,1,0,3,0,0,64
43.78,2,5,1,0,3,0,0,69
59.82,2,6,1,0,3,0,0,63
31.55,2,5,1,0,3,0,0,66
36.37,2,3,1,0,3,0,0,69
40.9,2,9,1,0,3,0,0,65
65.93,2,9,1,0,3,0,0,58
50.1,2,2,1,0,3,0,0,68
50.33,2,5,1,0,3,0,0,65
43.72,2,9,1,0,3,0,0,65
56.1,2,5,1,0,3,0,0,64
38.63,2,3,1,0,3,0,0,69
59.21,2,9,1,0,3,0,0,60
43.19,2,8,1,0,3,0,0,66
66.13,2,9,1,0,3,0,0,58
32.67,2,4,1,0,3,0,0,67
46.34,2,5,1,0,3,0,0,68
56.61,2,7,1,0,3,0,0,62
66.35,2,7,1,0,3,0,0,60
40.41,2,2,1,0,3,0,0,72
41.05,2,2,1,0,3,0,0,72
52.54,2,6,1,0,3,0,0,64
71.01,2,3,1,0,3,0,0,63
30.92,2,5,1,0,3,0,0,66
70.27,2,3,1,0,3,0,0,63
54.41,2,5,1,0,3,0,0,65
55.53,2,5,1,0,3,0,0,64
42.11,2,3,1,0,3,0,0,71
40.68,2,5,1,0,3,0,0,69
34.06,2,7,1,0,3,0,0,64
54.43,2,9,1,0,3,0,0,61
34.61,2,6,1,0,3,0,0,65
56.97,2,7,1,0,3,0,0,62
34.4,2,6,1,0,3,0,0,65
36.71,2,5,1,0,3,0,0,67
42.36,2,4,1,0,3,0,0,70
45.62,2,5,1,0,3,0,0,68
48.68,2,9,1,0,3,0,0,64
35.23,2,10,1,0,3,0,0,61
44.77,2,8,1,0,3,0,0,66
60.87,2,2,1,0,3,0,0,66
